,SalePrice,YearBuilt,YrSold,MonthSold,Size(sqf),Floor,N_Parkinglot(Ground),N_Parkinglot(Basement),TimeToBusStop,TimeToSubway,N_APT,N_manager,N_elevators,N_FacilitiesNearBy(PublicOffice),N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Mall),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(Park),N_SchoolNearBy(Elementary),N_SchoolNearBy(Middle),N_SchoolNearBy(High),N_SchoolNearBy(University),N_FacilitiesInApt,N_FacilitiesNearBy(Total),N_SchoolNearBy(Total),c_corridor,c_mixed,c_terraced,c_central_heating,c_individual_heating,c_management_in_trust,c_self_management,c_Bangoge,c_Banwoldang,c_Chil-sung-market,c_Daegu,c_Kyungbuk_uni_hospital,c_Myung-duk,c_Sin-nam,c_no_subway_nearby
0,141592,2006,2007,8,814,3,111.0,184.0,1,2,3.0,3.0,0.0,2.0,1,1.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,5,6.0,9.0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
1,51327,1985,2007,8,587,8,80.0,76.0,2,3,1.0,2.0,2.0,5.0,1,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,3,12.0,4.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
2,48672,1985,2007,8,587,6,80.0,76.0,2,3,1.0,2.0,2.0,5.0,1,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,3,12.0,4.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
3,380530,2006,2007,8,2056,8,249.0,536.0,2,4,6.0,5.0,11.0,1.0,1,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,5,3.0,7.0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
4,221238,1993,2007,8,1761,3,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
5,35840,1992,2007,8,355,5,200.0,0.0,1,2,3.0,5.0,10.0,7.0,1,1.0,1.0,5.0,1.0,4.0,3.0,5.0,5.0,3,16.0,17.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
6,78318,1992,2007,8,644,2,142.0,79.0,1,1,3.0,4.0,8.0,5.0,1,1.0,1.0,1.0,0.0,3.0,3.0,4.0,4.0,3,9.0,14.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
7,61946,1993,2007,8,644,10,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
8,84070,1993,2007,8,644,3,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
9,83185,1992,2007,8,644,13,142.0,79.0,1,1,3.0,4.0,8.0,5.0,1,1.0,1.0,1.0,0.0,3.0,3.0,4.0,4.0,3,9.0,14.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
10,168141,1986,2007,8,1377,4,713.0,0.0,2,2,7.0,8.0,27.0,5.0,1,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,4,9.0,6.0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
11,153982,1986,2007,8,914,11,713.0,0.0,2,2,7.0,8.0,27.0,5.0,1,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,4,9.0,6.0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
12,200884,2007,2007,8,868,18,0.0,1270.0,2,4,7.0,14.0,16.0,3.0,1,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,10,9.0,10.0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
13,60176,1985,2007,9,587,7,80.0,76.0,2,3,1.0,2.0,2.0,5.0,1,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,3,12.0,4.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
14,93362,1986,2007,9,910,7,100.0,18.0,2,3,1.0,1.0,2.0,5.0,1,2.0,1.0,1.0,1.0,6.0,2.0,3.0,2.0,3,11.0,13.0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
15,185840,1993,2007,9,1288,24,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
16,120796,1993,2007,9,914,2,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
17,64601,1992,2007,9,576,5,200.0,0.0,1,2,3.0,5.0,10.0,7.0,1,1.0,1.0,5.0,1.0,4.0,3.0,5.0,5.0,3,16.0,17.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
18,176991,1993,2007,9,1451,1,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
19,55752,1992,2007,9,576,1,200.0,0.0,1,2,3.0,5.0,10.0,7.0,1,1.0,1.0,5.0,1.0,4.0,3.0,5.0,5.0,3,16.0,17.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
20,38053,1992,2007,9,355,3,200.0,0.0,1,2,3.0,5.0,10.0,7.0,1,1.0,1.0,5.0,1.0,4.0,3.0,5.0,5.0,3,16.0,17.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
21,92035,1993,2007,9,644,20,523.0,536.0,2,1,8.0,8.0,20.0,6.0,2,0.0,1.0,5.0,0.0,4.0,3.0,5.0,5.0,4,14.0,17.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
22,181061,2007,2007,9,868,18,0.0,1270.0,2,4,7.0,14.0,16.0,3.0,1,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,10,9.0,10.0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
23,165486,1986,2007,9,1131,7,713.0,0.0,2,2,7.0,8.0,27.0,5.0,1,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,4,9.0,6.0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
24,198230,2007,2007,9,868,12,0.0,1270.0,2,4,7.0,14.0,16.0,3.0,1,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,10,9.0,10.0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
25,185840,2007,2007,9,868,3,0.0,1270.0,2,4,7.0,14.0,16.0,3.0,1,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,10,9.0,10.0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
26,448672,2007,2007,9,1643,39,0.0,1270.0,2,4,7.0,14.0,16.0,3.0,1,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,10,9.0,10.0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
27,371681,2007,2007,9,1387,38,0.0,1270.0,2,4,7.0,14.0,16.0,3.0,1,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,10,9.0,10.0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
