iter	Passed	Remaining
0	3	3079
1	9	4914
2	11	3982
3	14	3650
4	17	3490
5	23	3870
6	26	3703
7	29	3716
8	33	3699
9	41	4106
10	44	4021
11	48	3955
12	50	3826
13	55	3907
14	57	3786
15	59	3677
16	61	3584
17	64	3529
18	68	3539
19	70	3464
20	73	3412
21	75	3353
22	77	3294
23	79	3238
24	84	3314
25	87	3291
26	90	3269
27	93	3235
28	95	3194
29	99	3215
30	101	3187
31	104	3146
32	106	3114
33	108	3083
34	111	3072
35	113	3039
36	115	3009
37	118	2990
38	120	2963
39	122	2937
40	124	2911
41	128	2926
42	130	2900
43	132	2879
44	135	2868
45	138	2862
46	141	2862
47	144	2861
48	147	2857
49	150	2850
50	152	2837
51	155	2831
52	157	2812
53	159	2794
54	161	2778
55	163	2764
56	166	2747
57	168	2730
58	171	2739
59	173	2725
60	175	2708
61	178	2693
62	180	2685
63	182	2673
64	184	2659
65	186	2645
66	189	2641
67	192	2640
68	195	2633
69	198	2641
70	201	2637
71	204	2633
72	207	2632
73	210	2628
74	212	2616
75	214	2606
76	217	2610
77	219	2598
78	221	2587
79	224	2577
80	226	2571
81	228	2561
82	231	2561
83	234	2555
84	237	2557
85	240	2560
86	249	2619
87	252	2618
88	256	2628
89	266	2695
90	271	2714
91	274	2712
92	286	2789
93	296	2853
94	299	2856
95	311	2937
96	318	2965
97	332	3056
98	340	3103
99	354	3187
100	360	3212
101	367	3235
102	372	3245
103	382	3291
104	390	3324
105	393	3317
106	400	3341
107	403	3333
108	407	3327
109	409	3315
110	415	3324
111	417	3312
112	420	3299
113	423	3290
114	428	3301
115	431	3291
116	435	3283
117	437	3273
118	444	3288
119	446	3277
120	449	3264
121	451	3252
122	454	3237
123	457	3234
124	460	3223
125	462	3209
126	464	3195
127	466	3180
128	469	3169
129	472	3164
130	475	3152
131	477	3141
132	479	3128
133	482	3115
134	484	3102
135	488	3102
136	490	3092
137	493	3082
138	497	3078
139	499	3070
140	503	3064
141	506	3059
142	508	3050
143	511	3038
144	513	3028
145	516	3018
146	518	3007
147	521	3002
148	523	2992
149	526	2981
150	528	2969
151	530	2959
152	533	2950
153	535	2939
154	537	2928
155	540	2923
156	543	2917
157	546	2911
158	550	2910
159	552	2902
160	555	2895
161	558	2889
162	561	2884
163	564	2876
164	567	2871
165	570	2864
166	573	2858
167	576	2855
168	579	2849
169	582	2841
170	584	2835
171	587	2829
172	590	2824
173	593	2818
174	596	2810
175	599	2804
176	601	2798
177	605	2794
178	608	2788
179	610	2781
180	613	2775
181	616	2770
182	623	2783
183	626	2777
184	629	2771
185	631	2764
186	633	2755
187	641	2771
188	645	2770
189	648	2764
190	656	2779
191	660	2781
192	663	2775
193	668	2779
194	671	2770
195	673	2762
196	675	2755
197	678	2746
198	680	2739
199	684	2736
200	686	2729
201	693	2739
202	698	2741
203	701	2738
204	704	2733
205	713	2751
206	718	2753
207	729	2776
208	732	2770
209	736	2772
210	744	2782
211	747	2779
212	750	2771
213	752	2763
214	759	2771
215	761	2762
216	763	2755
217	765	2747
218	768	2739
219	773	2743
220	776	2735
221	778	2727
222	781	2722
223	786	2724
224	789	2718
225	791	2711
226	793	2702
227	795	2695
228	799	2690
229	802	2685
230	804	2677
231	806	2669
232	808	2662
233	811	2654
234	814	2653
235	818	2650
236	821	2643
237	823	2635
238	825	2628
239	830	2630
240	833	2624
241	836	2619
242	839	2615
243	842	2609
244	847	2610
245	849	2603
246	851	2596
247	854	2590
248	859	2592
249	862	2586
250	864	2579
251	866	2572
252	868	2565
253	871	2559
254	874	2555
255	876	2548
256	879	2541
257	880	2533
258	884	2529
259	887	2524
260	890	2522
261	893	2516
262	895	2510
263	899	2507
264	902	2502
265	904	2496
266	908	2493
267	910	2487
268	913	2481
269	916	2477
270	919	2472
271	922	2467
272	925	2465
273	928	2460
274	931	2454
275	934	2451
276	936	2445
277	939	2440
278	943	2437
279	945	2431
280	948	2427
281	951	2422
282	954	2418
283	956	2412
284	958	2405
285	961	2400
286	963	2394
287	965	2387
288	967	2381
289	970	2375
290	972	2369
291	974	2363
292	976	2357
293	979	2353
294	982	2349
295	985	2342
296	987	2337
297	989	2331
298	991	2325
299	993	2319
300	996	2314
301	998	2307
302	1000	2301
